z_pos,pitch,weather
1.000000,-20.000000,1
1.000000,-20.000000,3
1.000000,-20.000000,4
1.000000,-20.000000,6
1.000000,-20.000000,8
1.000000,-20.000000,14
1.000000,-18.000000,1
1.000000,-18.000000,3
1.000000,-18.000000,4
1.000000,-18.000000,6
1.000000,-18.000000,8
1.000000,-18.000000,14
1.000000,-16.000000,1
1.000000,-16.000000,3
1.000000,-16.000000,4
1.000000,-16.000000,6
1.000000,-16.000000,8
1.000000,-16.000000,14
1.000000,-14.000000,1
1.000000,-14.000000,3
1.000000,-14.000000,4
1.000000,-14.000000,6
1.000000,-14.000000,8
1.000000,-14.000000,14
1.000000,-12.000000,1
1.000000,-12.000000,3
1.000000,-12.000000,4
1.000000,-12.000000,6
1.000000,-12.000000,8
1.000000,-12.000000,14
1.000000,-10.000000,1
1.000000,-10.000000,3
1.000000,-10.000000,4
1.000000,-10.000000,6
1.000000,-10.000000,8
1.000000,-10.000000,14
1.200000,-20.000000,1
1.200000,-20.000000,3
1.200000,-20.000000,4
1.200000,-20.000000,6
1.200000,-20.000000,8
1.200000,-20.000000,14
1.200000,-18.000000,1
1.200000,-18.000000,3
1.200000,-18.000000,4
1.200000,-18.000000,6
1.200000,-18.000000,8
1.200000,-18.000000,14
1.200000,-16.000000,1
1.200000,-16.000000,3
1.200000,-16.000000,4
1.200000,-16.000000,6
1.200000,-16.000000,8
1.200000,-16.000000,14
1.200000,-14.000000,1
1.200000,-14.000000,3
1.200000,-14.000000,4
1.200000,-14.000000,6
1.200000,-14.000000,8
1.200000,-14.000000,14
1.200000,-12.000000,1
1.200000,-12.000000,3
1.200000,-12.000000,4
1.200000,-12.000000,6
1.200000,-12.000000,8
1.200000,-12.000000,14
1.200000,-10.000000,1
1.200000,-10.000000,3
1.200000,-10.000000,4
1.200000,-10.000000,6
1.200000,-10.000000,8
1.200000,-10.000000,14
1.400000,-20.000000,1
1.400000,-20.000000,3
1.400000,-20.000000,4
1.400000,-20.000000,6
1.400000,-20.000000,8
1.400000,-20.000000,14
1.400000,-18.000000,1
1.400000,-18.000000,3
1.400000,-18.000000,4
1.400000,-18.000000,6
1.400000,-18.000000,8
1.400000,-18.000000,14
1.400000,-16.000000,1
1.400000,-16.000000,3
1.400000,-16.000000,4
1.400000,-16.000000,6
1.400000,-16.000000,8
1.400000,-16.000000,14
1.400000,-14.000000,1
1.400000,-14.000000,3
1.400000,-14.000000,4
1.400000,-14.000000,6
1.400000,-14.000000,8
1.400000,-14.000000,14
1.400000,-12.000000,1
1.400000,-12.000000,3
1.400000,-12.000000,4
1.400000,-12.000000,6
1.400000,-12.000000,8
1.400000,-12.000000,14
1.400000,-10.000000,1
1.400000,-10.000000,3
1.400000,-10.000000,4
1.400000,-10.000000,6
1.400000,-10.000000,8
1.400000,-10.000000,14
1.600000,-20.000000,1
1.600000,-20.000000,3
1.600000,-20.000000,4
1.600000,-20.000000,6
1.600000,-20.000000,8
1.600000,-20.000000,14
1.600000,-18.000000,1
1.600000,-18.000000,3
1.600000,-18.000000,4
1.600000,-18.000000,6
1.600000,-18.000000,8
1.600000,-18.000000,14
1.600000,-16.000000,1
1.600000,-16.000000,3
1.600000,-16.000000,4
1.600000,-16.000000,6
1.600000,-16.000000,8
1.600000,-16.000000,14
1.600000,-14.000000,1
1.600000,-14.000000,3
1.600000,-14.000000,4
1.600000,-14.000000,6
1.600000,-14.000000,8
1.600000,-14.000000,14
1.600000,-12.000000,1
1.600000,-12.000000,3
1.600000,-12.000000,4
1.600000,-12.000000,6
1.600000,-12.000000,8
1.600000,-12.000000,14
1.600000,-10.000000,1
1.600000,-10.000000,3
1.600000,-10.000000,4
1.600000,-10.000000,6
1.600000,-10.000000,8
1.600000,-10.000000,14
1.800000,-20.000000,1
1.800000,-20.000000,3
1.800000,-20.000000,4
1.800000,-20.000000,6
1.800000,-20.000000,8
1.800000,-20.000000,14
1.800000,-18.000000,1
1.800000,-18.000000,3
1.800000,-18.000000,4
1.800000,-18.000000,6
1.800000,-18.000000,8
1.800000,-18.000000,14
1.800000,-16.000000,1
1.800000,-16.000000,3
1.800000,-16.000000,4
1.800000,-16.000000,6
1.800000,-16.000000,8
1.800000,-16.000000,14
1.800000,-14.000000,1
1.800000,-14.000000,3
1.800000,-14.000000,4
1.800000,-14.000000,6
1.800000,-14.000000,8
1.800000,-14.000000,14
1.800000,-12.000000,1
1.800000,-12.000000,3
1.800000,-12.000000,4
1.800000,-12.000000,6
1.800000,-12.000000,8
1.800000,-12.000000,14
1.800000,-10.000000,1
1.800000,-10.000000,3
1.800000,-10.000000,4
1.800000,-10.000000,6
1.800000,-10.000000,8
1.800000,-10.000000,14
2.000000,-20.000000,1
2.000000,-20.000000,3
2.000000,-20.000000,4
2.000000,-20.000000,6
2.000000,-20.000000,8
2.000000,-20.000000,14
2.000000,-18.000000,1
2.000000,-18.000000,3
2.000000,-18.000000,4
2.000000,-18.000000,6
2.000000,-18.000000,8
2.000000,-18.000000,14
2.000000,-16.000000,1
2.000000,-16.000000,3
2.000000,-16.000000,4
2.000000,-16.000000,6
2.000000,-16.000000,8
2.000000,-16.000000,14
2.000000,-14.000000,1
2.000000,-14.000000,3
2.000000,-14.000000,4
2.000000,-14.000000,6
2.000000,-14.000000,8
2.000000,-14.000000,14
2.000000,-12.000000,1
2.000000,-12.000000,3
2.000000,-12.000000,4
2.000000,-12.000000,6
2.000000,-12.000000,8
2.000000,-12.000000,14
2.000000,-10.000000,1
2.000000,-10.000000,3
2.000000,-10.000000,4
2.000000,-10.000000,6
2.000000,-10.000000,8
2.000000,-10.000000,14
